text,hate_label,source,profanity_score,language,dataset_version,combined_date,text_length,word_count  
badir,1,profanity_list,1,hinglish,v1.0,2025-09-11,5,1
badirchand,1,profanity_list,1,hinglish,v1.0,2025-09-11,10,1
bakland,1,profanity_list,1,hinglish,v1.0,2025-09-11,7,1
bhadva,1,profanity_list,2,hinglish,v1.0,2025-09-11,6,1
bhootnika,1,profanity_list,3,hinglish,v1.0,2025-09-11,9,1
chinaal,1,profanity_list,3,hinglish,v1.0,2025-09-11,7,1
chup,1,profanity_list,1,hinglish,v1.0,2025-09-11,4,1
chutia,1,profanity_list,5,hinglish,v1.0,2025-09-11,6,1
ghasti,1,profanity_list,4,hinglish,v1.0,2025-09-11,6,1
chutiya,1,profanity_list,9,hinglish,v1.0,2025-09-11,7,1
haraami,1,profanity_list,5,hinglish,v1.0,2025-09-11,7,1
haraam,1,profanity_list,5,hinglish,v1.0,2025-09-11,6,1
hijra,1,profanity_list,3,hinglish,v1.0,2025-09-11,5,1
hijda,1,profanity_list,9,hinglish,v1.0,2025-09-11,5,1
hinjda,1,profanity_list,3,hinglish,v1.0,2025-09-11,6,1
jaanvar,1,profanity_list,1,hinglish,v1.0,2025-09-11,7,1
kutta,1,profanity_list,2,hinglish,v1.0,2025-09-11,5,1
kutiya,1,profanity_list,3,hinglish,v1.0,2025-09-11,6,1
khota,1,profanity_list,1,hinglish,v1.0,2025-09-11,5,1
auladheen,1,profanity_list,2,hinglish,v1.0,2025-09-11,9,1
jaat,1,profanity_list,1,hinglish,v1.0,2025-09-11,4,1
najayaz,1,profanity_list,3,hinglish,v1.0,2025-09-11,7,1
gandpaidaish,1,profanity_list,2,hinglish,v1.0,2025-09-11,12,1
saala,1,profanity_list,2,hinglish,v1.0,2025-09-11,5,1
kutti,1,profanity_list,2,hinglish,v1.0,2025-09-11,5,1
soover,1,profanity_list,3,hinglish,v1.0,2025-09-11,6,1
tatti,1,profanity_list,3,hinglish,v1.0,2025-09-11,5,1
potty,1,profanity_list,3,hinglish,v1.0,2025-09-11,5,1
bahenchod,1,profanity_list,9,hinglish,v1.0,2025-09-11,9,1
bahanchod,1,profanity_list,9,hinglish,v1.0,2025-09-11,9,1
bahencho,1,profanity_list,9,hinglish,v1.0,2025-09-11,8,1
bancho,1,profanity_list,7,hinglish,v1.0,2025-09-11,6,1
bahenke,1,profanity_list,6,hinglish,v1.0,2025-09-11,7,1
laude,1,profanity_list,7,hinglish,v1.0,2025-09-11,5,1
takke,1,profanity_list,7,hinglish,v1.0,2025-09-11,5,1
betichod,1,profanity_list,9,hinglish,v1.0,2025-09-11,8,1
bhaichod,1,profanity_list,8,hinglish,v1.0,2025-09-11,8,1
bhains,1,profanity_list,1,hinglish,v1.0,2025-09-11,6,1
jhalla,1,profanity_list,6,hinglish,v1.0,2025-09-11,6,1
jhant,1,profanity_list,7,hinglish,v1.0,2025-09-11,5,1
nabaal,1,profanity_list,4,hinglish,v1.0,2025-09-11,6,1
pissu,1,profanity_list,3,hinglish,v1.0,2025-09-11,5,1
kutte,1,profanity_list,2,hinglish,v1.0,2025-09-11,5,1
maadherchod,1,profanity_list,10,hinglish,v1.0,2025-09-11,11,1
madarchod,1,profanity_list,10,hinglish,v1.0,2025-09-11,9,1
padma,1,profanity_list,6,hinglish,v1.0,2025-09-11,5,1
raand,1,profanity_list,9,hinglish,v1.0,2025-09-11,5,1
jamai,1,profanity_list,5,hinglish,v1.0,2025-09-11,5,1
randwa,1,profanity_list,8,hinglish,v1.0,2025-09-11,6,1
randi,1,profanity_list,8,hinglish,v1.0,2025-09-11,5,1
bachachod,1,profanity_list,8,hinglish,v1.0,2025-09-11,9,1
bachichod,1,profanity_list,8,hinglish,v1.0,2025-09-11,9,1
soower,1,profanity_list,3,hinglish,v1.0,2025-09-11,6,1
bachchechod,1,profanity_list,8,hinglish,v1.0,2025-09-11,11,1
ullu,1,profanity_list,1,hinglish,v1.0,2025-09-11,4,1
pathe,1,profanity_list,1,hinglish,v1.0,2025-09-11,5,1
banda,1,profanity_list,7,hinglish,v1.0,2025-09-11,5,1
booblay,1,profanity_list,7,hinglish,v1.0,2025-09-11,7,1
booby,1,profanity_list,7,hinglish,v1.0,2025-09-11,5,1
buble,1,profanity_list,7,hinglish,v1.0,2025-09-11,5,1
babla,1,profanity_list,7,hinglish,v1.0,2025-09-11,5,1
bhonsriwala,1,profanity_list,8,hinglish,v1.0,2025-09-11,11,1
bhonsdiwala,1,profanity_list,8,hinglish,v1.0,2025-09-11,11,1
ched,1,profanity_list,8,hinglish,v1.0,2025-09-11,4,1
chut,1,profanity_list,8,hinglish,v1.0,2025-09-11,4,1
chod,1,profanity_list,7,hinglish,v1.0,2025-09-11,4,1
chodu,1,profanity_list,7,hinglish,v1.0,2025-09-11,5,1
chodra,1,profanity_list,7,hinglish,v1.0,2025-09-11,6,1
choochi,1,profanity_list,8,hinglish,v1.0,2025-09-11,7,1
chuchi,1,profanity_list,8,hinglish,v1.0,2025-09-11,6,1
gaandu,1,profanity_list,9,hinglish,v1.0,2025-09-11,6,1
gandu,1,profanity_list,9,hinglish,v1.0,2025-09-11,5,1
gaand,1,profanity_list,9,hinglish,v1.0,2025-09-11,5,1
lavda,1,profanity_list,8,hinglish,v1.0,2025-09-11,5,1
lawda,1,profanity_list,8,hinglish,v1.0,2025-09-11,5,1
lauda,1,profanity_list,8,hinglish,v1.0,2025-09-11,5,1
lund ,1,profanity_list,8,hinglish,v1.0,2025-09-11,5,1
balchod,1,profanity_list,7,hinglish,v1.0,2025-09-11,7,1
lavander,1,profanity_list,8,hinglish,v1.0,2025-09-11,8,1
muth,1,profanity_list,7,hinglish,v1.0,2025-09-11,4,1
maacho,1,profanity_list,10,hinglish,v1.0,2025-09-11,6,1
mammey,1,profanity_list,8,hinglish,v1.0,2025-09-11,6,1
tatte,1,profanity_list,8,hinglish,v1.0,2025-09-11,5,1
toto,1,profanity_list,8,hinglish,v1.0,2025-09-11,4,1
toota,1,profanity_list,7,hinglish,v1.0,2025-09-11,5,1
backar,1,profanity_list,2,hinglish,v1.0,2025-09-11,6,1
bhandwe,1,profanity_list,7,hinglish,v1.0,2025-09-11,7,1
bhosadchod,1,profanity_list,9,hinglish,v1.0,2025-09-11,10,1
bhosad,1,profanity_list,8,hinglish,v1.0,2025-09-11,6,1
bumchod,1,profanity_list,9,hinglish,v1.0,2025-09-11,7,1
bum,1,profanity_list,8,hinglish,v1.0,2025-09-11,3,1
bur,1,profanity_list,9,hinglish,v1.0,2025-09-11,3,1
chatani,1,profanity_list,1,hinglish,v1.0,2025-09-11,7,1
cunt,1,profanity_list,8,hinglish,v1.0,2025-09-11,4,1
cuntmama,1,profanity_list,8,hinglish,v1.0,2025-09-11,8,1
chipkali,1,profanity_list,1,hinglish,v1.0,2025-09-11,8,1
pasine,1,profanity_list,1,hinglish,v1.0,2025-09-11,6,1
jhaat,1,profanity_list,8,hinglish,v1.0,2025-09-11,5,1
chodela,1,profanity_list,6,hinglish,v1.0,2025-09-11,7,1
bhagatchod,1,profanity_list,7,hinglish,v1.0,2025-09-11,10,1
chhola,1,profanity_list,7,hinglish,v1.0,2025-09-11,6,1
chudai,1,profanity_list,7,hinglish,v1.0,2025-09-11,6,1
chudaikhana,1,profanity_list,9,hinglish,v1.0,2025-09-11,11,1
chunni,1,profanity_list,8,hinglish,v1.0,2025-09-11,6,1
choot,1,profanity_list,8,hinglish,v1.0,2025-09-11,5,1
bhoot,1,profanity_list,1,hinglish,v1.0,2025-09-11,5,1
dhakkan,1,profanity_list,1,hinglish,v1.0,2025-09-11,7,1
bhajiye,1,profanity_list,1,hinglish,v1.0,2025-09-11,7,1
fateychu,1,profanity_list,9,hinglish,v1.0,2025-09-11,8,1
gandnatije,1,profanity_list,2,hinglish,v1.0,2025-09-11,10,1
lundtopi,1,profanity_list,4,hinglish,v1.0,2025-09-11,8,1
gaandu,1,profanity_list,8,hinglish,v1.0,2025-09-11,6,1
gaandfat,1,profanity_list,8,hinglish,v1.0,2025-09-11,8,1
gaandmasti,1,profanity_list,8,hinglish,v1.0,2025-09-11,10,1
makhanchudai,1,profanity_list,8,hinglish,v1.0,2025-09-11,12,1
gaandmarau,1,profanity_list,9,hinglish,v1.0,2025-09-11,10,1
gandu,1,profanity_list,8,hinglish,v1.0,2025-09-11,5,1
chaatu,1,profanity_list,6,hinglish,v1.0,2025-09-11,6,1
beej,1,profanity_list,6,hinglish,v1.0,2025-09-11,4,1
choosu,1,profanity_list,7,hinglish,v1.0,2025-09-11,6,1
fakeerchod,1,profanity_list,8,hinglish,v1.0,2025-09-11,10,1
lundoos,1,profanity_list,8,hinglish,v1.0,2025-09-11,7,1
shorba,1,profanity_list,7,hinglish,v1.0,2025-09-11,6,1
binbheja,1,profanity_list,3,hinglish,v1.0,2025-09-11,8,1
bhadwe,1,profanity_list,6,hinglish,v1.0,2025-09-11,6,1
parichod,1,profanity_list,9,hinglish,v1.0,2025-09-11,8,1
nirodh,1,profanity_list,5,hinglish,v1.0,2025-09-11,6,1
pucchi,1,profanity_list,8,hinglish,v1.0,2025-09-11,6,1
baajer,1,profanity_list,8,hinglish,v1.0,2025-09-11,6,1
choud,1,profanity_list,8,hinglish,v1.0,2025-09-11,5,1
bhosda,1,profanity_list,9,hinglish,v1.0,2025-09-11,6,1
sadi,1,profanity_list,5,hinglish,v1.0,2025-09-11,4,1
choos,1,profanity_list,5,hinglish,v1.0,2025-09-11,5,1
maka,1,profanity_list,7,hinglish,v1.0,2025-09-11,4,1
chinaal,1,profanity_list,7,hinglish,v1.0,2025-09-11,7,1
gadde,1,profanity_list,7,hinglish,v1.0,2025-09-11,5,1
joon,1,profanity_list,3,hinglish,v1.0,2025-09-11,4,1
chullugand,1,profanity_list,4,hinglish,v1.0,2025-09-11,10,1
doob,1,profanity_list,1,hinglish,v1.0,2025-09-11,4,1
khatmal,1,profanity_list,1,hinglish,v1.0,2025-09-11,7,1
gandkate,1,profanity_list,6,hinglish,v1.0,2025-09-11,8,1
bambu,1,profanity_list,4,hinglish,v1.0,2025-09-11,5,1
kattmulla,1,profanity_list,4,hinglish,v1.0,2025-09-11,9,1
lassan,1,profanity_list,1,hinglish,v1.0,2025-09-11,6,1
danda,1,profanity_list,2,hinglish,v1.0,2025-09-11,5,1
keera,1,profanity_list,2,hinglish,v1.0,2025-09-11,5,1
keeda,1,profanity_list,2,hinglish,v1.0,2025-09-11,5,1
hazaarchu,1,profanity_list,7,hinglish,v1.0,2025-09-11,9,1
paidaishikeeda,1,profanity_list,5,hinglish,v1.0,2025-09-11,14,1
kali,1,profanity_list,5,hinglish,v1.0,2025-09-11,4,1
safaid,1,profanity_list,2,hinglish,v1.0,2025-09-11,6,1
poot,1,profanity_list,2,hinglish,v1.0,2025-09-11,4,1
behendi,1,profanity_list,5,hinglish,v1.0,2025-09-11,7,1
chus,1,profanity_list,6,hinglish,v1.0,2025-09-11,4,1
machudi,1,profanity_list,10,hinglish,v1.0,2025-09-11,7,1
chodoonga,1,profanity_list,8,hinglish,v1.0,2025-09-11,9,1
baapchu,1,profanity_list,9,hinglish,v1.0,2025-09-11,7,1
